game_id,week,home_team,away_team,start_date,my_spread,posted_date
401870764,3,Sam Houston,Nicholls,2026-09-19T23:00:00.000Z,,
401862773,3,Rice,Western Michigan,2026-09-19T23:00:00.000Z,,
401862777,3,South Florida,Delaware State,2026-09-19T23:00:00.000Z,,
401869948,3,Jacksonville State,Georgia Southern,2026-09-19T23:00:00.000Z,,
401856687,3,Auburn,Florida,2026-09-19T23:00:00.000Z,,
401856800,3,UCF,Georgia State,2026-09-19T23:00:00.000Z,,
401856803,3,Oklahoma State,Murray State,2026-09-19T23:00:00.000Z,,
401866423,3,South Alabama,Ohio,2026-09-19T23:00:00.000Z,,
401861963,3,Southern Miss,UConn,2026-09-19T23:00:00.000Z,,
401862772,3,Memphis,UT Martin,2026-09-19T23:00:00.000Z,,
401864443,3,Middle Tennessee,Nevada,2026-09-19T23:00:00.000Z,,
401858459,3,Washington,Eastern Washington,2026-09-19T23:15:00.000Z,,
401858452,3,Nebraska,North Dakota,2026-09-19T23:15:00.000Z,,
401856688,3,Ole Miss,LSU,2026-09-19T23:30:00.000Z,,
401856802,3,Virginia,West Virginia,2026-09-19T23:30:00.000Z,,
401856796,3,Northwestern,Colorado,2026-09-19T23:30:00.000Z,,
401858232,3,Maryland,Virginia Tech,2026-09-19T23:30:00.000Z,,
401856795,3,Colorado State,BYU,2026-09-19T23:30:00.000Z,,
401858453,3,Notre Dame,Michigan State,2026-09-19T23:30:00.000Z,,
401856690,3,Oklahoma,New Mexico,2026-09-19T23:30:00.000Z,,
401856692,3,Tennessee,Kennesaw State,2026-09-19T23:45:00.000Z,,
401862775,3,Tulsa,East Texas A&M,2026-09-20T00:00:00.000Z,,
401856693,3,Texas,UTSA,2026-09-20T00:00:00.000Z,,
401856799,3,TCU,Arkansas State,2026-09-20T00:00:00.000Z,,
401862776,3,Louisiana,UAB,2026-09-20T00:00:00.000Z,,
401860887,3,San Diego State,James Madison,2026-09-20T02:00:00.000Z,,
401860885,3,Boise State,South Dakota,2026-09-20T02:00:00.000Z,,
401860889,3,Texas State,North Texas,2026-09-20T02:00:00.000Z,,
401864507,3,Sacramento State,North Dakota State,2026-09-20T02:30:00.000Z,,
401856793,3,Arizona,Northern Illinois,2026-09-20T02:30:00.000Z,,
401858458,3,UCLA,Purdue,2026-09-20T03:00:00.000Z,,
401860888,3,San José State,Fresno State,2026-09-20T03:00:00.000Z,,
401860886,3,Oregon State,Montana,2026-09-20T03:00:00.000Z,,
